Data,,
";""Uppkommet avfall exklusive mineralavfall (miljoner ton)"";""Uppkommet mineralavfall (miljoner ton)""",,
Tyskland;156,0;244,0
Frankrike;97;226,,
Storbritannien;119;158,,
Polen;79;103,,
Rumänien;21;156,,
Italien;109;55,,
Sverige;21;120,,
Nederländerna;43;98,,
Spanien;69;60,,
Finland;14;109,,
Bulgarien;18;102,,
Belgien;38;25,,
Österrike;16;45,,
Tjeckien;13;13,,
Estland;12;12,,
Danmark;9;11,,
Ungern;11;5,,
Portugal;12;3,,
Slovakien;8;3,,
Luxemburg;2,0;9,0
Litauen;4;3,,
Slovenien;3;2,,
Kroatien;3;2,,
Lettland;2;0,,
Cypern;1;2,,
Malta;1;1,,
Irland;0;0,,
Grekland;0;0,,